Sat 02/16/2019 16:12:30.00 Initial tracert (trace route) to www.google.com 

Tracing route to www.google.com [172.217.6.68]
over a maximum of 30 hops:

  1    <1 ms    <1 ms    <1 ms  router.asus.com [192.168.1.1] 
  2     1 ms     1 ms     1 ms  10.1.27.1 
  3    58 ms    53 ms    52 ms  66.29.178.205.static.utbb.net [66.29.178.205] 
  4     3 ms    21 ms     7 ms  204.14.21.158.static.utbb.net [204.14.21.158] 
  5    40 ms    28 ms    42 ms  66.29.191.205.static.utbb.net [66.29.191.205] 
  6    25 ms    22 ms    20 ms  eqixsj-google-gige.google.com [206.223.116.21] 
  7    52 ms    58 ms    42 ms  108.170.242.81 
  8    61 ms    74 ms    54 ms  209.85.247.55 
  9    78 ms    71 ms    59 ms  sfo07s17-in-f68.1e100.net [172.217.6.68] 

Trace complete.
Sat 02/16/2019 16:12:53.45 Pinging www.google.com 
Sat 02/16/2019 16:12:54.49 Pinging www.google.com 
Sat 02/16/2019 16:12:55.55 Pinging www.google.com 
Sat 02/16/2019 16:12:56.63 Pinging www.google.com 
Sat 02/16/2019 16:12:57.69 Pinging www.google.com 
Sat 02/16/2019 16:12:58.75 Pinging www.google.com 
Sat 02/16/2019 16:12:59.80 Pinging www.google.com 
Sat 02/16/2019 16:13:00.85 Pinging www.google.com 
Sat 02/16/2019 16:13:01.91 Pinging www.google.com 
Sat 02/16/2019 16:13:02.95 Pinging www.google.com 
Sat 02/16/2019 16:13:04.07 Pinging www.google.com 
Sat 02/16/2019 16:13:05.13 Pinging www.google.com 
Sat 02/16/2019 16:13:06.22 Pinging www.google.com 
Sat 02/16/2019 16:13:07.26 Pinging www.google.com 
Sat 02/16/2019 16:13:08.35 Pinging www.google.com 
Sat 02/16/2019 16:13:09.40 Pinging www.google.com 
Sat 02/16/2019 16:13:10.47 Pinging www.google.com 
Sat 02/16/2019 16:13:11.52 Pinging www.google.com 
Sat 02/16/2019 16:13:12.57 Pinging www.google.com 
Sat 02/16/2019 16:13:13.61 Pinging www.google.com 
Sat 02/16/2019 16:13:14.66 Pinging www.google.com 
Sat 02/16/2019 16:13:15.72 Pinging www.google.com 
Sat 02/16/2019 16:13:16.78 Pinging www.google.com 
Sat 02/16/2019 16:13:17.83 Pinging www.google.com 
Sat 02/16/2019 16:13:18.88 Pinging www.google.com 
Sat 02/16/2019 16:13:19.96 Pinging www.google.com 
