Sat 02/16/2019 17:44:37.25 Initial tracert (trace route) to www.google.com 

Tracing route to www.google.com [216.58.192.4]
over a maximum of 30 hops:

  1    <1 ms    <1 ms    <1 ms  router.asus.com [192.168.1.1] 
  2     4 ms     3 ms    <1 ms  10.1.27.1 
  3    33 ms     2 ms     1 ms  66.29.178.205.static.utbb.net [66.29.178.205] 
  4     2 ms     2 ms     2 ms  204.14.21.158.static.utbb.net [204.14.21.158] 
  5     5 ms     4 ms     4 ms  66.29.191.205.static.utbb.net [66.29.191.205] 
  6    20 ms    20 ms    21 ms  eqixsj-google-gige.google.com [206.223.116.21] 
  7    22 ms    22 ms    22 ms  108.170.242.241 
  8    52 ms    48 ms    50 ms  108.170.237.147 
  9    38 ms    24 ms    23 ms  nuq04s29-in-f4.1e100.net [216.58.192.4] 

Trace complete.
Sat 02/16/2019 17:46:48.31 Pinging www.google.com 
Sat 02/16/2019 17:46:49.36 Pinging www.google.com 
Sat 02/16/2019 17:46:50.40 Pinging www.google.com 
Sat 02/16/2019 17:46:51.45 Pinging www.google.com 
Sat 02/16/2019 17:46:52.49 Pinging www.google.com 
Sat 02/16/2019 17:46:53.53 Pinging www.google.com 
Sat 02/16/2019 17:46:54.58 Pinging www.google.com 
Sat 02/16/2019 17:46:55.62 Pinging www.google.com 
Sat 02/16/2019 17:46:56.67 Pinging www.google.com 
Sat 02/16/2019 17:46:57.71 Pinging www.google.com 
Sat 02/16/2019 17:46:58.79 Pinging www.google.com 
Sat 02/16/2019 17:46:59.84 Pinging www.google.com 
Sat 02/16/2019 17:47:00.91 Pinging www.google.com 
Sat 02/16/2019 17:47:01.95 Pinging www.google.com 
Sat 02/16/2019 17:47:03.02 Pinging www.google.com 
Sat 02/16/2019 17:47:04.07 Pinging www.google.com 
Sat 02/16/2019 17:47:05.14 Pinging www.google.com 
Sat 02/16/2019 17:47:06.19 Pinging www.google.com 
Sat 02/16/2019 17:47:07.27 Pinging www.google.com 
Sat 02/16/2019 17:47:08.32 Pinging www.google.com 
Sat 02/16/2019 17:47:09.36 Pinging www.google.com 
Sat 02/16/2019 17:47:10.44 Pinging www.google.com 
Sat 02/16/2019 17:47:11.48 Pinging www.google.com 
Sat 02/16/2019 17:47:12.53 Pinging www.google.com 
Sat 02/16/2019 17:47:13.58 Pinging www.google.com 
Sat 02/16/2019 17:47:14.64 Pinging www.google.com 
Sat 02/16/2019 17:47:15.68 Pinging www.google.com 
Sat 02/16/2019 17:47:16.77 Pinging www.google.com 
Sat 02/16/2019 17:47:17.81 Pinging www.google.com 
Sat 02/16/2019 17:47:18.89 Pinging www.google.com 
Sat 02/16/2019 17:47:19.94 Pinging www.google.com 
Sat 02/16/2019 17:47:21.01 Pinging www.google.com 
Sat 02/16/2019 17:47:22.06 Pinging www.google.com 
Sat 02/16/2019 17:47:23.19 Pinging www.google.com 
Sat 02/16/2019 17:47:24.24 Pinging www.google.com 
