Sat 02/16/2019 18:55:59.63 Initial tracert (trace route) to www.google.com  

Tracing route to www.google.com [216.58.194.196]
over a maximum of 30 hops:

  1    <1 ms    <1 ms    <1 ms  router.asus.com [192.168.1.1] 
Sat 02/16/2019 18:58:10.51 Pinging www.google.com  
Sat 02/16/2019 18:58:11.59 Pinging www.google.com  
Sat 02/16/2019 18:58:12.64 Pinging www.google.com  
Sat 02/16/2019 18:58:13.73 Pinging www.google.com  
Sat 02/16/2019 18:58:14.78 Pinging www.google.com  
Sat 02/16/2019 18:58:15.87 Pinging www.google.com  
Sat 02/16/2019 18:58:16.91 Pinging www.google.com  
Sat 02/16/2019 18:58:17.98 Pinging www.google.com  
Sat 02/16/2019 18:58:19.02 Pinging www.google.com  
Sat 02/16/2019 18:58:20.06 Pinging www.google.com  
Sat 02/16/2019 18:58:21.11 Pinging www.google.com  
Sat 02/16/2019 18:58:22.15 Pinging www.google.com  
Sat 02/16/2019 18:58:23.19 Pinging www.google.com  
Sat 02/16/2019 18:58:24.24 Pinging www.google.com  
Sat 02/16/2019 18:58:25.28 Pinging www.google.com  
Sat 02/16/2019 18:58:26.33 Pinging www.google.com  
Sat 02/16/2019 18:58:27.38 Pinging www.google.com  
Sat 02/16/2019 18:58:28.42 Pinging www.google.com  
Sat 02/16/2019 18:58:29.49 Pinging www.google.com  
Sat 02/16/2019 18:58:30.54 Pinging www.google.com  
Sat 02/16/2019 18:58:31.63 Pinging www.google.com  
Sat 02/16/2019 18:58:32.67 Pinging www.google.com  
Sat 02/16/2019 18:58:33.76 Pinging www.google.com  
Sat 02/16/2019 18:58:34.80 Pinging www.google.com  
Sat 02/16/2019 18:58:35.87 Pinging www.google.com  
Sat 02/16/2019 18:58:36.92 Pinging www.google.com  
Sat 02/16/2019 18:58:37.96 Pinging www.google.com  
Sat 02/16/2019 18:58:39.01 Pinging www.google.com  
Sat 02/16/2019 18:58:40.05 Pinging www.google.com  
Sat 02/16/2019 18:58:41.09 Pinging www.google.com  
Sat 02/16/2019 18:58:42.14 Pinging www.google.com  
Sat 02/16/2019 18:58:43.18 Pinging www.google.com  
Sat 02/16/2019 18:58:44.22 Pinging www.google.com  
Sat 02/16/2019 18:58:45.27 Pinging www.google.com  
Sat 02/16/2019 18:58:46.31 Pinging www.google.com  
Sat 02/16/2019 18:58:47.36 Pinging www.google.com  
Sat 02/16/2019 18:58:48.40 Pinging www.google.com  
Sat 02/16/2019 18:58:49.57 Pinging www.google.com  
Sat 02/16/2019 18:58:50.61 Pinging www.google.com  
Sat 02/16/2019 18:58:51.71 Pinging www.google.com  
Sat 02/16/2019 18:58:52.75 Pinging www.google.com  
Sat 02/16/2019 18:58:53.83 Pinging www.google.com  
Sat 02/16/2019 18:58:54.87 Pinging www.google.com  
Sat 02/16/2019 18:58:55.91 Pinging www.google.com  
Sat 02/16/2019 18:58:56.95 Pinging www.google.com  
Sat 02/16/2019 18:58:58.00 Pinging www.google.com  
Sat 02/16/2019 18:58:59.04 Pinging www.google.com  
Sat 02/16/2019 18:59:00.09 Pinging www.google.com  
Sat 02/16/2019 18:59:01.13 Pinging www.google.com  
Sat 02/16/2019 18:59:02.17 Pinging www.google.com  
Sat 02/16/2019 18:59:03.21 Pinging www.google.com  
Sat 02/16/2019 18:59:04.27 Pinging www.google.com  
Sat 02/16/2019 18:59:05.31 Pinging www.google.com  
Sat 02/16/2019 18:59:06.35 Pinging www.google.com  
Sat 02/16/2019 18:59:07.40 Pinging www.google.com  
Sat 02/16/2019 18:59:08.45 Pinging www.google.com  
Sat 02/16/2019 18:59:09.55 Pinging www.google.com  
Sat 02/16/2019 18:59:10.59 Pinging www.google.com  
Sat 02/16/2019 18:59:11.68 Pinging www.google.com  
Sat 02/16/2019 18:59:12.72 Pinging www.google.com  
Sat 02/16/2019 18:59:13.80 Pinging www.google.com  
Sat 02/16/2019 18:59:14.84 Pinging www.google.com  
